,Unnamed: 0,Model,Oversample,Scaler,Neighbors,precision,recall,f1-score,support
0,Active,K-Nearest Neighbors (kNN),False,"RobustScaler(quantile_range=(25, 75))",9,0.9890667707926591,0.7666464891041163,0.8637681159420291,3304.0
1,Inactive,K-Nearest Neighbors (kNN),False,"RobustScaler(quantile_range=(25, 75))",9,0.4711934156378601,0.9608391608391608,0.6323055683387022,715.0
2,accuracy,K-Nearest Neighbors (kNN),False,"RobustScaler(quantile_range=(25, 75))",9,0.8011943269470018,0.8011943269470018,0.8011943269470018,0.8011943269470018
3,macro avg,K-Nearest Neighbors (kNN),False,"RobustScaler(quantile_range=(25, 75))",9,0.7301300932152597,0.8637428249716386,0.7480368421403656,4019.0
4,weighted avg,K-Nearest Neighbors (kNN),False,"RobustScaler(quantile_range=(25, 75))",9,0.8969345366708176,0.8011943269470018,0.8225897826411137,4019.0
0,Active,Logistic Regression,True,MinMaxScaler(),0,0.9494320263832906,0.7842009685230025,0.8589424830101111,3304.0
1,Inactive,Logistic Regression,True,MinMaxScaler(),0,0.4472868217054263,0.806993006993007,0.5755610972568579,715.0
2,accuracy,Logistic Regression,True,MinMaxScaler(),0,0.7882557850211496,0.7882557850211496,0.7882557850211496,0.7882557850211496
3,macro avg,Logistic Regression,True,MinMaxScaler(),0,0.6983594240443585,0.7955969877580047,0.7172517901334845,4019.0
4,weighted avg,Logistic Regression,True,MinMaxScaler(),0,0.8600979081089256,0.7882557850211496,0.8085275313272109,4019.0
0,Active,Support Vector Machines (SVM),True,PowerTransformer(),0,0.9905813575836312,0.9231234866828087,0.9556634811217296,3304.0
1,Inactive,Support Vector Machines (SVM),True,PowerTransformer(),0,0.7297872340425532,0.9594405594405594,0.8290030211480361,715.0
2,accuracy,Support Vector Machines (SVM),True,PowerTransformer(),0,0.929584473749689,0.929584473749689,0.929584473749689,0.929584473749689
3,macro avg,Support Vector Machines (SVM),True,PowerTransformer(),0,0.8601842958130921,0.941282023061684,0.8923332511348829,4019.0
4,weighted avg,Support Vector Machines (SVM),True,PowerTransformer(),0,0.9441847916886644,0.929584473749689,0.933129958135616,4019.0
0,Active,K-Nearest Neighbors (kNN),True,StandardScaler(),15,0.9757971571263926,0.7687651331719129,0.8599966141865583,3304.0
1,Inactive,K-Nearest Neighbors (kNN),True,StandardScaler(),15,0.4604519774011299,0.911888111888112,0.6119192867198499,715.0
2,accuracy,K-Nearest Neighbors (kNN),True,StandardScaler(),15,0.7942274197561583,0.7942274197561583,0.7942274197561583,0.7942274197561583
3,macro avg,K-Nearest Neighbors (kNN),True,StandardScaler(),15,0.7181245672637613,0.8403266225300123,0.7359579504532041,4019.0
4,weighted avg,K-Nearest Neighbors (kNN),True,StandardScaler(),15,0.8841146979316769,0.7942274197561583,0.8158624292801895,4019.0
0,Active,K-Nearest Neighbors (kNN),True,MaxAbsScaler(),22,0.9654377880184332,0.7608958837772397,0.8510494245091402,3304.0
1,Inactive,K-Nearest Neighbors (kNN),True,MaxAbsScaler(),22,0.4416961130742049,0.8741258741258742,0.5868544600938966,715.0
2,accuracy,K-Nearest Neighbors (kNN),True,MaxAbsScaler(),22,0.7810400597163474,0.7810400597163474,0.7810400597163474,0.7810400597163474
3,macro avg,K-Nearest Neighbors (kNN),True,MaxAbsScaler(),22,0.703566950546319,0.8175108789515569,0.7189519423015185,4019.0
4,weighted avg,K-Nearest Neighbors (kNN),True,MaxAbsScaler(),22,0.8722615507491812,0.7810400597163474,0.8040478321834624,4019.0
0,Active,K-Nearest Neighbors (kNN),True,StandardScaler(),19,0.9732246798603028,0.7590799031476998,0.8529161707192656,3304.0
1,Inactive,K-Nearest Neighbors (kNN),True,StandardScaler(),19,0.4479889042995839,0.9034965034965036,0.5989800649049606,715.0
2,accuracy,K-Nearest Neighbors (kNN),True,StandardScaler(),19,0.7847723314257278,0.7847723314257278,0.7847723314257278,0.7847723314257278
3,macro avg,K-Nearest Neighbors (kNN),True,StandardScaler(),19,0.7106067920799433,0.8312882033221016,0.7259481178121131,4019.0
4,weighted avg,K-Nearest Neighbors (kNN),True,StandardScaler(),19,0.8797826346933671,0.7847723314257278,0.8077396801352327,4019.0
0,Active,K-Nearest Neighbors (kNN),True,MinMaxScaler(),19,0.9652375434530708,0.7563559322033898,0.8481248939419651,3304.0
1,Inactive,K-Nearest Neighbors (kNN),True,MinMaxScaler(),19,0.4370629370629371,0.8741258741258742,0.5827505827505828,715.0
2,accuracy,K-Nearest Neighbors (kNN),True,MinMaxScaler(),19,0.7773077880069669,0.7773077880069669,0.7773077880069669,0.7773077880069669
3,macro avg,K-Nearest Neighbors (kNN),True,MinMaxScaler(),19,0.7011502402580039,0.8152409031646319,0.715437738346274,4019.0
4,weighted avg,K-Nearest Neighbors (kNN),True,MinMaxScaler(),19,0.8712726657300187,0.7773077880069669,0.8009134899852997,4019.0
0,Active,Support Vector Machines (SVM),True,"RobustScaler(quantile_range=(25, 75))",0,0.9880645161290322,0.9270581113801452,0.9565896314803248,3304.0
1,Inactive,Support Vector Machines (SVM),True,"RobustScaler(quantile_range=(25, 75))",0,0.7377584330794341,0.9482517482517484,0.8298653610771114,715.0
2,accuracy,Support Vector Machines (SVM),True,"RobustScaler(quantile_range=(25, 75))",0,0.9308285643194824,0.9308285643194824,0.9308285643194824,0.9308285643194824
